checkpoint,round,train_tgc,train_sgc,test_normal_tgc,test_normal_sgc
Base,0,0.06172839506172839,0.0,0.09523809523809523,0.005952380952380952
R1,1,0.06172839506172839,0.0,0.13690476190476192,0.05357142857142857
R2,2,0.06172839506172839,0.037037037037037035,0.12896825396825398,0.03571428571428571
R3,3,0.0905349794238683,0.037037037037037035,0.125,0.02976190476190476
R4,4,0.07407407407407407,0.037037037037037035,0.10119047619047619,0.02976190476190476
R5,5,0.08641975308641975,0.037037037037037035,0.09523809523809523,0.017857142857142856
R6,6,0.10699588477366255,0.06172839506172839,0.10317460317460317,0.023809523809523808
R7,7,0.12345679012345678,0.06172839506172839,0.12698412698412698,0.041666666666666664
R8,8,0.11934156378600823,0.09876543209876543,0.1369047619047619,0.05952380952380952
R9,9,0.0205761316872428,0.0,,
